,Unnamed: 0,PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageArea,MiscVal,MoSold,YrSold,bathrm_cnt,patioSF,Prop_Addr,Full_Adr,gcode,lat,long,dist,zip,tract,income,FinBsmtSF,TotalSF
21,21,902326030,2640,265979,70,RM,65.0,11700,Pave,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,1240.0,1240.0,1320,1320,4,Gd,8,1,864.0,0,5,2009,1.5,567,829 DOUGLAS AVE,"829 DOUGLAS AVE, Ames, IA","829, Douglas Avenue, Downtown, Ames, Story County, Iowa, 50010, United States",42.02935814285714,-93.61228857142856,2.8420873873229686,50010.0,19169000900.0,37028.0,0.0,3880.0
22,22,527451330,1092,105500,160,RM,21.0,1680,Pave,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,225.0,525.0,525,567,3,TA,6,0,320.0,0,3,2010,1.5,0,1342 BARKLEY CT,"1342 BARKLEY CT, Ames, IA","1342, Barkley Court, Briardale Square, Ames, Story County, Iowa, 50010, United States",42.051676299375686,-93.62760442259348,3.186602967838887,50010.0,19169000300.0,60500.0,300.0,1617.0
23,23,528218100,1458,168165,60,RL,58.0,13204,Pave,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,608.0,608.0,608,850,3,Gd,6,0,454.0,0,5,2007,2.0,133,4205 CRESTMOOR AVE,"4205 CRESTMOOR AVE, Ames, IA","4205, Crestmoor Avenue, Bloomington Heights West, Ames, Story County, Iowa, 50010, United States",42.06183478929063,-93.64514075104287,3.9096492711623143,50010.0,19169000100.0,82985.0,0.0,2066.0
24,24,916386140,1466,201000,20,RL,73.0,8925,Pave,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,1450.0,1466.0,1466,0,3,Gd,7,0,610.0,0,7,2009,2.0,118,3028 COTTONTAIL LN,"3028 COTTONTAIL LN, Ames, IA","3028, Cottontail Lane, Ringgenberg Park, Ames, Story County, Iowa, 50014, United States",41.994931209457846,-93.650374,3.5481123366811422,50014.0,19169001302.0,59234.0,16.0,2932.0
25,25,533221090,1573,177500,160,FV,,2117,Pave,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,378.0,756.0,769,804,3,Gd,5,0,440.0,0,6,2010,2.5,32,2711 HAMPTON ST,"2711 HAMPTON ST, Ames, IA","2711, Hampton Street, Somerset, Ames, Story County, Iowa, 50010, United States",42.046175343583606,-93.64673497939646,2.1663261962545697,50010.0,19169000100.0,82985.0,378.0,2329.0
26,26,534128010,2090,200000,60,RL,,10382,Pave,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,216.0,1107.0,1107,983,3,TA,7,2,484.0,350,11,2009,3.5,667,1636 JOHNSON ST,"1636 JOHNSON ST, Ames, IA","1636, Johnson Street, Parkview Heights;, Ames, Story County, Iowa, 50010, United States",42.04903420384354,-93.63264578650906,2.735194886550476,50010.0,19169000300.0,60500.0,891.0,3197.0
27,27,528106110,2046,450000,20,RL,105.0,15431,Pave,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,564.0,1994.0,2046,0,2,Ex,7,2,878.0,0,8,2007,3.5,428,3331 WESTON DR,"3331 WESTON DR, Ames, IA","3331, Weston Drive, Northridge Heights, Ames, Story County, Iowa, 50010, United States",42.06135122133348,-93.6568043437672,3.947115858776272,50010.0,19169000100.0,82985.0,1430.0,4040.0
28,28,902206260,886,91300,30,RM,50.0,5784,Pave,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,190.0,190.0,886,0,2,TA,4,0,273.0,0,12,2009,1.0,244,926 DUFF AVE,"926 DUFF AVE, Ames, IA","926, Duff Avenue, Ames, Story County, Iowa, 50010, United States",42.03109366137248,-93.61045453926472,3.0179910175217244,50010.0,19169000900.0,37028.0,0.0,1076.0
29,29,528222090,1258,173500,20,RL,64.0,7697,Pave,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,1246.0,1246.0,1258,0,3,Gd,6,0,462.0,0,8,2007,2.0,0,4302 WELBECK DR,"4302 WELBECK DR, Ames, IA","4302, Welbeck Drive, Bloomington Heights West, Ames, Story County, Iowa, 50010, United States",42.06322648533865,-93.64433362330249,4.06677375968806,50010.0,19169000100.0,82985.0,0.0,2504.0
30,30,528218150,1324,199500,20,RL,100.0,18494,Pave,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,1324.0,1324.0,1324,0,3,Gd,6,0,430.0,0,1,2010,2.0,59,4103 CRESTMOOR AVE,"4103 CRESTMOOR AVE, Ames, IA","4103, Crestmoor Avenue, Bloomington Heights West, Ames, Story County, Iowa, 50010, United States",42.06273418076429,-93.64609380939284,4.008216348558665,50010.0,19169000100.0,82985.0,0.0,2648.0
31,31,903400180,1848,207000,50,RL,64.0,13053,Pave,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,833.0,833.0,1053,795,4,Gd,8,1,370.0,0,6,2008,1.5,220,816 BROOKRIDGE AVE,"816 BROOKRIDGE AVE, Ames, IA","816, Brookridge Avenue, Ridgewood, Ames, Story County, Iowa, 50010, United States",42.02954372815348,-93.62737676136398,1.6113757241496782,50010.0,19169000900.0,37028.0,0.0,2681.0
32,32,535453210,1269,155000,20,RL,70.0,7931,Pave,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,363.0,1269.0,1269,0,3,TA,6,1,308.0,0,6,2008,1.5,0,1522 MAXWELL AVE,"1522 MAXWELL AVE, Ames, IA","1522, Maxwell Avenue, Crestwood, Ames, Story County, Iowa, 50010, United States",42.037273779743664,-93.60675880919582,3.4876417592429005,50010.0,19169000200.0,52375.0,906.0,2538.0
33,33,916386010,1346,220000,20,RL,88.0,11896,Pave,Timber,Norm,Norm,1Fam,1Story,7,5,2008,2008,1258.0,1336.0,1346,0,3,Gd,6,1,660.0,0,5,2010,3.0,148,3005 CEDAR LN,"3005 CEDAR LN, Ames, IA","3005, Cedar Lane, Ames, Story County, Iowa, 50014, United States",41.99523381632653,-93.64923497959184,3.5072695860218737,50014.0,19169001302.0,59234.0,78.0,2682.0
34,34,907181090,1749,196000,60,RL,68.0,9272,Pave,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,342.0,842.0,856,893,3,Gd,7,0,515.0,0,6,2006,2.5,225,5408 CERVANTES DR,"5408 CERVANTES DR, Ames, IA","5408, Cervantes Drive, Bentwood, Ames, Story County, Iowa, 50014, United States",42.01709501184218,-93.6915471972316,3.872598253838219,50014.0,19169001301.0,33311.0,500.0,2591.0
35,35,902206020,492,61500,30,RM,52.0,7830,Pave,OldTown,Norm,Norm,1Fam,1Story,3,5,1921,1950,76.0,492.0,492,0,1,TA,3,0,200.0,0,6,2006,2.0,78,118 E 11TH ST,"118 E 11TH ST, Ames, IA","118, East 11th Street, Sunrise, Ames, Story County, Iowa, 50010, United States",42.03195016326531,-93.61018020408164,3.057100289200536,50010.0,19169000900.0,37028.0,416.0,984.0
36,36,527327050,2030,195000,60,RL,,12046,Pave,NWAmes,Norm,Norm,1Fam,2Story,6,6,1976,1976,692.0,848.0,1118,912,4,Gd,8,1,551.0,0,6,2007,2.5,224,3323 BUCHANAN CT,"3323 BUCHANAN CT, Ames, IA","3323, Buchanan Court, Parkview Heights;, Ames, Story County, Iowa, 50010, United States",42.05450581967213,-93.6315601147541,3.3299762861863127,50010.0,19169000300.0,60500.0,156.0,2878.0
37,37,527455250,988,129250,20,RL,65.0,7150,Pave,NAmes,Norm,Norm,1Fam,1Story,5,6,1966,1966,263.0,988.0,988,0,3,TA,5,0,360.0,0,11,2007,2.0,0,1115 28TH ST,"1115 28TH ST, Ames, IA","1115, 28th Street, North Grand, Ames, Story County, Iowa, 50010, United States",42.048851159119046,-93.6253976305988,3.0182264171374875,50010.0,19169000300.0,60500.0,725.0,1976.0
38,38,528326110,2172,291000,60,RL,,11000,Pave,NoRidge,Norm,Norm,1Fam,2Story,9,5,2000,2000,1519.0,1519.0,1533,639,4,Ex,8,1,687.0,0,6,2008,2.5,315,3013 ALMOND RD,"3013 ALMOND RD, Ames, IA","3013, Almond Road, Northridge Parkway, Ames, Story County, Iowa, 50014, United States",42.05552995303909,-93.65441695383424,3.272759672089617,50014.0,19169000100.0,82985.0,0.0,3691.0
39,39,914452190,1080,134000,20,RL,71.0,9187,Pave,Mitchel,Norm,Norm,1Fam,1Story,6,5,1983,1983,748.0,1084.0,1080,0,3,TA,5,0,484.0,0,6,2007,1.5,278,302 OPAL CIR,"302 OPAL CIR, Ames, IA","302, Opal Circle, Ames, Story County, Iowa, 50010, United States",41.99419902380953,-93.60742948809524,4.847209982426228,50010.0,19169001302.0,59234.0,336.0,2164.0
40,40,535425060,1312,186000,20,RL,76.0,11355,Pave,NAmes,Norm,Norm,1Fam,1Story,7,7,1958,2001,675.0,1312.0,1312,0,3,TA,6,1,495.0,6500,4,2008,1.5,448,1903 MEADOWLANE AVE,"1903 MEADOWLANE AVE, Ames, IA","1903, Meadowlane Avenue, Gunderland Heights, Ames, Story County, Iowa, 50010, United States",42.04129604081633,-93.6052156734694,3.777420219763176,50010.0,19169000200.0,52375.0,637.0,2624.0
41,41,532376250,925,133500,20,RL,,8638,Pave,Sawyer,RRAe,Norm,1Fam,1Story,5,6,1963,1963,744.0,925.0,925,0,2,TA,5,0,484.0,0,10,2006,2.0,277,4015 TORONTO ST,"4015 TORONTO ST, Ames, IA","4015, Toronto Street, Ontario Heights, Ontario, Ames, Story County, Iowa, 50014, United States",42.035861571428576,-93.672579,2.383455376178424,50014.0,19169000600.0,60833.0,181.0,1850.0
42,42,535379110,1534,148000,70,RL,60.0,10800,Pave,OldTown,Norm,Norm,1Fam,2Story,5,9,1895,1999,736.0,736.0,751,783,3,Gd,6,0,0.0,0,7,2007,1.5,112,1412 KELLOGG AVE,"1412 KELLOGG AVE, Ames, IA","1412, Kellogg Avenue, Ames, Story County, Iowa, 50010, United States",42.03594679591837,-93.6138648979592,2.8857938274667285,50010.0,19169000200.0,52375.0,0.0,2270.0
43,43,528118010,2376,325300,60,RL,101.0,14215,Pave,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,1158.0,1158.0,1158,1218,4,Gd,9,1,853.0,0,11,2006,3.5,394,3335 PRESTON CIR,"3335 PRESTON CIR, Ames, IA","3335, Preston Circle, Northridge Heights, Ames, Story County, Iowa, 50010, United States",42.06042873469387,-93.65768375510204,3.863709048646205,50010.0,19169000100.0,82985.0,0.0,3534.0
44,44,528235160,1959,215000,60,RL,59.0,11796,Pave,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2005,847.0,847.0,847,1112,4,Gd,8,1,434.0,0,7,2007,2.5,148,3908 WELBECK DR,"3908 WELBECK DR, Ames, IA","3908, Welbeck Drive, Bloomington Heights West, Ames, Story County, Iowa, 50010, United States",42.05971268357939,-93.64377151492386,3.678905667442209,50010.0,19169000100.0,82985.0,0.0,2806.0
45,45,905478030,1716,131000,50,RL,60.0,11409,Pave,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,1949,2008,476.0,768.0,1148,568,3,TA,8,1,281.0,0,1,2009,1.5,160,3218 WEST ST,"3218 WEST ST, Ames, IA","3218, West Street, Union Drive, Ames, Story County, Iowa, 50014, United States",42.02486103224607,-93.66069363575488,1.190473165167136,50014.0,,,292.0,2484.0
46,46,902106130,936,109500,30,RM,56.0,4485,Pave,OldTown,Artery,Norm,1Fam,1Story,5,7,1920,1950,357.0,936.0,936,0,2,TA,5,1,0.0,0,5,2010,2.0,186,1010 GRAND AVE,"1010 GRAND AVE, Ames, IA","1010, Grand Avenue, Ames, Story County, Iowa, 50010, United States",42.03146246938776,-93.6202082244898,2.235938021801533,50010.0,19169000900.0,37028.0,579.0,1872.0
47,47,902102080,1230,110000,50,RM,60.0,10440,Pave,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,1981,440.0,440.0,682,548,2,TA,5,0,440.0,0,5,2009,1.5,202,1203 BURNETT AVE,"1203 BURNETT AVE, Ames, IA","1203, Burnett Avenue, Downtown, Ames, Story County, Iowa, 50010, United States",42.03339248979592,-93.61561781632652,2.6578845426396884,50010.0,19169000900.0,37028.0,0.0,1670.0
48,48,909176170,2592,150000,90,RL,60.0,10890,Pave,SWISU,Norm,Norm,Duplex,2Story,5,6,1923,1950,925.0,1296.0,1296,1296,6,TA,12,0,0.0,1512,1,2007,4.0,982,426 HAYWARD AVE 428,"426 HAYWARD AVE 428, Ames, IA","426, Hayward Avenue, Campustown, Ames, Story County, Iowa, 50014, United States",42.01869102040816,-93.65162163265306,0.98625135383115,50014.0,19169001100.0,20878.0,371.0,3888.0
49,49,533206070,1565,193800,120,FV,32.0,3784,Pave,Somerst,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,1451.0,1511.0,1565,0,2,Gd,5,0,476.0,0,2,2007,3.0,120,2807 BRISTOL DR,"2807 BRISTOL DR, Ames, IA","2807, Bristol Drive, Somerset, Ames, Story County, Iowa, 50010, United States",42.04744045286655,-93.64761628687974,2.3087995471748624,50010.0,19169000100.0,82985.0,60.0,3076.0
50,50,527302020,1868,178000,80,RL,78.0,12090,Pave,NWAmes,Norm,Norm,1Fam,SLvl,6,7,1984,2003,585.0,585.0,1140,728,3,TA,7,1,477.0,0,1,2007,3.5,527,3414 EISENHOWER AVE,"3414 EISENHOWER AVE, Ames, IA","3414, Eisenhower Avenue, Parkview Heights;, Ames, Story County, Iowa, 50010, United States",42.05547019086042,-93.63783989426828,3.2790901768183143,50010.0,19169000300.0,60500.0,0.0,2453.0
51,51,907414060,1422,179600,20,RL,63.0,8500,Pave,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,1422.0,1422.0,1422,0,3,Gd,7,0,626.0,0,11,2007,2.0,252,4824 WALLER ST,"4824 WALLER ST, Ames, IA","4824, Waller Street, Longview, Ames, Story County, Iowa, 50014, United States",42.013971727272725,-93.68636003030302,3.585152729750728,50014.0,19169001301.0,33311.0,0.0,2844.0
52,52,904301060,1200,179000,90,RL,60.0,10800,Pave,Edwards,Norm,Norm,Duplex,1Story,5,5,1987,1988,0.0,1200.0,1200,0,3,TA,5,0,0.0,0,3,2009,6.0,120,3012 OAKLAND ST 3014,"3012 OAKLAND ST 3014, Ames, IA","3012, Oakland Street, Union Drive, Ames, Story County, Iowa, 50014, United States",42.02811888524044,-93.6587373332222,1.023343706304659,50014.0,19169000700.0,21333.0,1200.0,2400.0
53,53,532479020,1641,140000,50,RL,70.0,10759,Pave,Sawyer,Feedr,Norm,1Fam,1.5Fin,5,4,1972,1972,0.0,1001.0,1001,640,4,TA,5,1,490.0,0,7,2008,2.0,92,1306 SCOTT CIR,"1306 SCOTT CIR, Ames, IA","1306, Scott Circle, Ames, Story County, Iowa, 50014, United States",42.034612217391306,-93.660487,1.4525693571311176,50014.0,19169000600.0,60833.0,1001.0,2642.0
54,54,528110070,1973,395000,20,RL,110.0,14226,Pave,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,2006,1935.0,1935.0,1973,0,3,Gd,9,1,895.0,0,7,2007,2.0,360,3207 STOCKBURY ST,"3207 STOCKBURY ST, Ames, IA","3207, Stockbury Street, Northridge Heights, Ames, Story County, Iowa, 50010, United States",42.06225054508096,-93.65827363707724,4.072118395290952,50010.0,19169000100.0,82985.0,0.0,3908.0
55,55,534429130,1248,151500,20,RL,80.0,10800,Pave,NAmes,Norm,Norm,1Fam,1Story,5,7,1960,1960,616.0,1248.0,1248,0,3,TA,6,0,286.0,0,5,2006,2.0,0,808 NARLAND DR,"808 NARLAND DR, Ames, IA","808, Narland Drive, Ames, Story County, Iowa, 50010, United States",42.04013450915821,-93.62208412387304,2.510357201628985,50010.0,19169000400.0,61991.0,632.0,2496.0
56,56,528365060,2418,341000,60,RL,96.0,10542,Pave,NoRidge,Norm,Norm,1Fam,2Story,7,5,1993,1994,138.0,1311.0,1325,1093,3,Gd,9,1,983.0,0,8,2008,3.5,620,2900 RIDGETOP RD,"2900 RIDGETOP RD, Ames, IA","2900, Ridgetop Road, Northridge Parkway, Ames, Story County, Iowa, 50014, United States",42.049582,-93.655958,2.662389652972756,50014.0,19169000100.0,82985.0,1173.0,3729.0
57,57,533135020,1755,235000,60,RL,,11949,Pave,NoRidge,Norm,Norm,1Fam,2Story,7,8,1991,2008,158.0,975.0,975,780,3,Gd,7,1,524.0,0,7,2009,3.0,562,2614 SOUTHRIDGE CIR,"2614 SOUTHRIDGE CIR, Ames, IA","2614, Southridge Circle, Northridge Parkway, Ames, Story County, Iowa, 50014, United States",42.04756942857143,-93.65029857142858,2.34241802053441,50014.0,19169000100.0,82985.0,817.0,2730.0
58,58,910203100,672,72000,30,RM,61.0,8534,Pave,IDOTRR,Norm,Norm,1Fam,1Story,4,4,1925,1950,432.0,432.0,672,0,2,TA,4,0,0.0,0,6,2006,1.0,112,301 S RUSSELL AVE,"301 S RUSSELL AVE, Ames, IA","301, South Russell Avenue, Iowa State Center, Ames, Story County, Iowa, 50010, United States",42.020318,-93.628408,1.654910542318234,50010.0,,,0.0,1104.0
59,59,905451390,1626,154000,50,RL,70.0,10512,Pave,Edwards,Norm,Norm,1Fam,1.5Fin,6,6,1954,1954,497.0,988.0,988,638,3,Gd,6,0,332.0,0,5,2007,1.5,366,310 WESTWOOD DR,"310 WESTWOOD DR, Ames, IA","310, Westwood Drive, Ames, Story County, Iowa, 50014, United States",42.0245466193626,-93.66738084341767,1.741859317618167,50014.0,19169000700.0,21333.0,491.0,2614.0
