,tract,PID,income
196,19169001302.0,916402125,59234
197,19169000600.0,531452010,60833
198,19169000100.0,528363070,82985
199,19169000100.0,533208090,82985
200,19169000400.0,534401130,61991
201,19169001000.0,910203230,26009
202,19169001302.0,907420090,59234
203,19169000900.0,902303100,37028
204,19169000600.0,906392120,60833
205,19169001000.0,903484080,26009
206,19169000300.0,527301320,60500
207,19169000100.0,527140090,82985
208,19169001100.0,909428170,20878
209,19169000600.0,905228050,60833
210,19169000100.0,533234020,82985
211,19169000100.0,533212100,82985
212,19169000400.0,534475185,61991
213,19169000700.0,905452150,21333
214,19169000100.0,528176010,82985
215,19169000200.0,535450160,52375
216,19169000100.0,533215040,82985
217,19169000100.0,528104010,82985
218,19169000200.0,535325090,52375
219,19169001100.0,909250210,20878
220,19169000300.0,527325110,60500
221,19169001000.0,910202030,26009
222,19169000200.0,535175180,52375
223,19169000300.0,534202160,60500
224,19169001302.0,916403020,59234
225,19169000200.0,535354100,52375
226,19169000600.0,905227050,60833
227,19169000400.0,534451020,61991
228,19169000100.0,533120030,82985
229,19169000700.0,905352010,21333
230,19169000600.0,905108220,60833
231,19169000100.0,527165170,82985
232,19169000200.0,535353190,52375
233,19169000100.0,528315070,82985
234,19169000900.0,903232060,37028
235,19169000600.0,906204180,60833
236,19169000600.0,906475110,60833
237,19169000600.0,906223040,60833
238,19169001100.0,909253190,20878
239,19169001302.0,923400150,59234
240,19169001302.0,923226290,59234
241,19169001100.0,909282020,20878
242,19169000100.0,528110110,82985
243,19169000400.0,534479320,61991
244,19169000100.0,528150110,82985
245,19169000600.0,906380160,60833
246,19169001000.0,911370460,26009
247,19169000200.0,535477090,52375
248,19169000400.0,534478230,61991
249,19169000600.0,906426060,60833
250,19169000100.0,528235190,82985
251,19169001302.0,923225440,59234
252,19169001302.0,923276030,59234
253,19169001100.0,909425060,20878
254,19169000100.0,528188060,82985
255,19169000100.0,527105140,82985
256,19169000200.0,535477150,52375
257,19169000200.0,535327210,52375
258,19169000100.0,533213070,82985
259,19169000600.0,904100100,60833
260,19169000100.0,528188120,82985
261,19169000100.0,528480180,82985
262,19169000100.0,528114040,82985
263,19169000100.0,528235020,82985
264,19169001302.0,908275110,59234
265,19169000600.0,905103140,60833
266,19169000900.0,902402260,37028
267,19169000100.0,528235200,82985
268,19169000100.0,528181060,82985
269,19169001302.0,923275200,59234
270,19169001000.0,903451110,26009
271,19169000100.0,528181040,82985
272,19169001302.0,908102110,59234
273,19169000100.0,533217050,82985
274,19169000100.0,533350090,82985
275,19169000100.0,528445070,82985
276,19169000100.0,527212040,82985
277,19169001302.0,907200270,59234
278,19169000700.0,908201040,21333
279,19169001302.0,907410100,59234
280,19169001000.0,903481120,26009
281,19169000200.0,535453180,52375
282,19169001302.0,907227110,59234
283,19169000600.0,531453010,60833
284,19169000600.0,531478010,60833
285,19169000200.0,535403200,52375
286,19169000100.0,527254020,82985
287,19169000100.0,527366030,82985
288,19169000200.0,535325460,52375
289,,528110040,
290,19169000600.0,906392090,60833
291,19169000200.0,535452140,52375
292,19169000200.0,535151160,52375
293,19169000200.0,535456050,52375
294,19169000900.0,903429110,37028
296,19169001302.0,916455150,59234
297,19169001100.0,909425180,20878
298,19169000100.0,528175050,82985
299,19169001000.0,910205010,26009
300,19169000100.0,533206020,82985
301,19169000900.0,902427040,37028
302,19169000100.0,528427020,82985
303,19169000100.0,528458070,82985
304,19169000900.0,903401030,37028
305,19169001100.0,909275040,20878
306,19169000100.0,527163130,82985
307,19169000600.0,905200350,60833
308,19169000100.0,528363050,82985
309,19169001302.0,908154205,59234
310,19169000900.0,903233140,37028
311,19169000600.0,905107070,60833
312,19169000100.0,528240020,82985
313,19169000600.0,906225180,60833
314,19169000100.0,528114010,82985
315,19169001302.0,907126030,59234
316,19169000600.0,904100160,60833
317,19169001100.0,909254130,20878
318,19169000200.0,535403030,52375
319,19169001302.0,907412010,59234
320,19169000900.0,903228080,37028
321,19169000600.0,531452100,60833
322,19169000200.0,526302030,52375
323,19169000900.0,902106090,37028
324,19169000100.0,527161090,82985
325,19169000600.0,532353120,60833
326,19169000200.0,535453070,52375
327,19169000400.0,534252110,61991
328,19169000200.0,535327230,52375
329,19169000700.0,905425125,21333
330,19169001302.0,908103280,59234
331,19169000100.0,528221060,82985
332,19169001302.0,921128020,59234
333,19169000100.0,528174040,82985
334,19169001200.0,909256010,86520
335,19169000100.0,533212060,82985
336,19169001302.0,908204180,59234
337,19169000100.0,533223100,82985
338,19169001100.0,909176180,20878
339,19169000900.0,903475040,37028
340,19169000200.0,535426195,52375
341,19169000600.0,905103040,60833
342,19169000100.0,528110100,82985
343,19169000400.0,534431030,61991
344,19169000600.0,905300010,60833
345,19169001302.0,914474070,59234
346,19169000400.0,534428100,61991
347,19169000100.0,533350050,82985
348,19169001302.0,908188130,59234
349,19169000400.0,534453150,61991
350,,528458120,
351,19169000200.0,535179050,52375
352,19169000300.0,527302185,60500
353,19169000300.0,534128190,60500
354,19169000100.0,528180110,82985
355,19169001302.0,916176125,59234
356,19169001000.0,903454090,26009
357,19169000200.0,535457010,52375
358,19169000100.0,528462040,82985
359,19169001100.0,909428120,20878
360,19169001302.0,916460060,59234
361,19169000100.0,528431050,82985
362,19169000100.0,527110020,82985
363,19169000200.0,535352080,52375
364,19169000300.0,527402250,60500
365,19169000200.0,535451040,52375
366,19169000700.0,905452050,21333
367,19169000900.0,903225090,37028
368,19169000600.0,531363010,60833
369,19169001302.0,923205025,59234
370,19169000600.0,532377060,60833
371,19169000900.0,902109160,37028
372,19169000900.0,902128075,37028
373,19169000100.0,528178070,82985
374,19169000900.0,903225160,37028
375,19169000600.0,906380170,60833
376,19169000100.0,528174020,82985
377,19169001000.0,910201110,26009
378,19169000200.0,535325400,52375
379,19169000200.0,535150070,52375
380,19169000100.0,533254100,82985
381,19169000100.0,533254130,82985
382,19169001302.0,907194110,59234
383,19169000600.0,531375100,60833
384,19169000100.0,532477030,82985
385,19169000100.0,534102025,82985
386,19169000700.0,905452160,21333
387,19169000100.0,533208050,82985
388,19169000700.0,905427030,21333
389,19169000200.0,535301010,52375
390,19169001100.0,909280030,20878
391,19169000100.0,528116010,82985
392,19169000100.0,528228270,82985
393,19169001302.0,907252210,59234
394,19169001100.0,909475020,20878
395,19169001302.0,907253110,59234
396,19169000200.0,535325280,52375
397,19169000600.0,532378240,60833
398,19169001302.0,908102260,59234
399,19169001302.0,908226180,59234
400,19169000100.0,527425060,82985
401,19169000300.0,527451540,60500
402,19169000900.0,902128170,37028
403,19169001000.0,903455090,26009
404,19169001000.0,910203250,26009
405,19169000900.0,903228070,37028
406,19169000100.0,527214060,82985
408,19169000100.0,528427010,82985
409,19169000200.0,535451250,52375
410,19169001302.0,908152270,59234
411,19169001100.0,909452050,20878
412,19169000600.0,532354160,60833
413,19169000600.0,531453100,60833
414,19169000100.0,527328050,82985
415,19169001302.0,907418010,59234
416,19169000100.0,528344020,82985
417,19169000600.0,532353180,60833
418,19169000900.0,902106070,37028
419,19169000100.0,528221050,82985
420,19169000400.0,534479300,61991
421,19169000600.0,906223060,60833
422,19169000200.0,535105060,52375
423,19169000100.0,528108040,82985
424,19169001100.0,909279010,20878
425,19169000100.0,527183030,82985
426,19169000100.0,527276160,82985
427,19169000900.0,902207130,37028
428,19169000900.0,903227020,37028
429,19169001302.0,908203100,59234
430,19169000400.0,534152120,61991
431,19169001302.0,907290240,59234
432,19169000100.0,528478030,82985
433,19169001000.0,910201180,26009
434,19169000100.0,533208140,82985
435,19169000100.0,528166150,82985
436,19169000600.0,905107140,60833
437,19169000100.0,527180100,82985
438,19169000100.0,528458080,82985
439,19169000600.0,905101450,60833
440,19169001302.0,914460110,59234
441,19169000400.0,534400290,61991
442,19169001302.0,907254020,59234
443,19169000100.0,528458030,82985
444,19169000100.0,528480060,82985
445,19169000600.0,905226050,60833
446,19169000100.0,528253010,82985
447,19169000100.0,528228345,82985
448,19169000100.0,527425140,82985
449,19169001302.0,907135020,59234
450,19169000100.0,533206040,82985
451,19169000200.0,535181140,52375
452,19169000900.0,902427045,37028
453,19169000300.0,527405130,60500
454,19169000100.0,528431040,82985
455,19169000300.0,527450210,60500
456,19169000600.0,532378200,60833
457,19169001100.0,909278020,20878
458,19169000300.0,534225110,60500
459,,909451130,
460,19169000100.0,528142020,82985
461,19169000300.0,527404030,60500
462,19169000100.0,527162180,82985
463,19169000400.0,534151180,61991
464,19169001302.0,908204090,59234
465,19169000600.0,532354070,60833
466,19169000300.0,527302070,60500
467,19169000100.0,527214030,82985
468,19169000100.0,533128030,82985
469,19169000900.0,902330010,37028
470,19169001302.0,923228150,59234
471,19169000300.0,527302080,60500
472,19169000100.0,528344040,82985
473,19169000200.0,535403040,52375
474,19169000200.0,535375050,52375
475,19169000200.0,535376060,52375
476,19169001302.0,924151040,59234
477,19169000100.0,528186160,82985
478,19169000600.0,532351150,60833
479,19169000600.0,905105010,60833
480,19169000300.0,527452310,60500
481,19169001100.0,909250200,20878
482,19169000600.0,905101300,60833
483,19169000900.0,902329080,37028
484,19169000900.0,903225140,37028
485,19169000100.0,533215080,82985
486,19169000400.0,534452060,61991
487,19169000100.0,532476050,82985
488,19169001100.0,909428110,20878
489,19169000100.0,528170040,82985
490,19169000100.0,533110130,82985
491,19169001302.0,921205030,59234
492,19169001302.0,923203090,59234
493,19169000200.0,535104120,52375
494,19169000100.0,528366070,82985
495,19169001302.0,923204040,59234
496,19169000200.0,535378080,52375
497,19169000100.0,533251130,82985
498,,528235130,
499,19169000900.0,903226130,37028
500,19169000900.0,903235020,37028
501,19169000100.0,527425110,82985
502,19169000900.0,902327070,37028
503,19169000900.0,903425270,37028
504,,534127230,
505,19169001302.0,914478100,59234
506,19169000200.0,535301150,52375
507,19169000900.0,903225150,37028
508,19169000300.0,527402220,60500
509,19169000700.0,904351240,21333
510,19169000200.0,535452090,52375
511,19169000100.0,528108020,82985
512,19169000100.0,528427070,82985
513,19169000900.0,902125020,37028
514,19169001000.0,910201050,26009
515,19169000100.0,527425090,82985
516,19169001100.0,909277100,20878
517,19169000600.0,531452070,60833
518,19169000100.0,528387050,82985
519,19169000700.0,905480240,21333
520,19169000200.0,535476350,52375
521,19169000100.0,527258010,82985
522,19169000600.0,906394060,60833
523,19169001100.0,909282030,20878
524,19169000600.0,905225040,60833
525,19169001302.0,908275130,59234
526,19169000100.0,527226040,82985
527,19169001000.0,903458110,26009
528,19169000200.0,535425080,52375
529,19169001302.0,907201220,59234
530,19169000900.0,903426160,37028
531,19169000700.0,905478140,21333
532,19169000600.0,906475070,60833
533,19169001302.0,907414070,59234
534,19169001302.0,914476050,59234
535,19169001302.0,923251180,59234
536,19169000100.0,528235090,82985
537,19169000300.0,527355150,60500
538,19169000300.0,527454130,60500
539,19169000100.0,533215020,82985
540,19169000200.0,526302120,52375
541,19169000600.0,532378220,60833
542,19169001302.0,907420110,59234
543,19169000300.0,527354100,60500
544,19169000200.0,535404080,52375
545,19169000600.0,906223090,60833
546,19169000300.0,527450080,60500
547,19169000700.0,905352030,21333
548,19169001302.0,923275040,59234
549,19169000600.0,906477110,60833
550,19169001302.0,908103310,59234
551,19169000600.0,531477040,60833
552,19169000400.0,534176230,61991
553,19169001302.0,907187060,59234
554,19169000100.0,528385050,82985
555,19169001302.0,908204160,59234
556,19169001302.0,924100020,59234
557,19169001302.0,907401080,59234
558,19169000100.0,528108120,82985
559,19169001302.0,916403230,59234
560,19169000900.0,903236040,37028
561,19169000900.0,903475060,37028
562,19169000300.0,527302090,60500
563,19169001302.0,923230120,59234
564,19169000400.0,534403420,61991
565,19169000900.0,902304060,37028
566,19169001302.0,907290090,59234
567,19169001302.0,907203090,59234
568,19169000600.0,905102060,60833
569,19169001302.0,907275150,59234
570,19169000200.0,535152150,52375
571,19169000100.0,528365090,82985
572,19169001000.0,910200080,26009
573,19169001302.0,923225080,59234
574,19169000600.0,906402200,60833
575,19169001302.0,921128050,59234
576,19169001100.0,909250160,20878
577,19169001302.0,908225170,59234
578,19169000600.0,906380060,60833
579,19169000100.0,527175130,82985
580,19169000100.0,528480110,82985
581,19169000100.0,528150070,82985
582,19169001302.0,923400040,59234
583,19169001000.0,910205020,26009
584,19169000200.0,535103050,52375
585,19169000100.0,528240150,82985
586,,906226120,
587,19169000200.0,535327140,52375
588,19169000100.0,528427040,82985
589,19169000100.0,528435020,82985
590,19169000400.0,534431130,61991
591,19169001302.0,923203110,59234
592,19169000300.0,527356020,60500
593,19169000100.0,527252090,82985
594,19169000100.0,527258020,82985
595,19169000100.0,533253060,82985
596,19169000600.0,905107380,60833
597,19169000600.0,531375040,60833
598,19169000200.0,535355100,52375
599,19169001302.0,907192120,59234
600,19169000100.0,528138010,82985
601,19169001302.0,908229020,59234
602,19169000100.0,528480090,82985
603,19169000100.0,527108070,82985
604,19169000600.0,906226060,60833
605,19169001302.0,908275290,59234
606,19169000600.0,531375070,60833
607,19169000100.0,528480070,82985
608,19169000600.0,905300080,60833
609,19169001302.0,907203040,59234
610,19169000200.0,535450180,52375
611,19169000600.0,531382070,60833
612,19169000100.0,527216080,82985
613,19169000600.0,906394050,60833
614,19169000100.0,527252070,82985
615,19169000400.0,534250010,61991
616,19169000600.0,904100090,60833
617,19169000700.0,905453040,21333
618,19169000300.0,527326150,60500
619,19169001100.0,909101050,20878
620,19169001302.0,923203140,59234
621,19169000600.0,906230020,60833
622,19169000100.0,528218060,82985
623,19169000600.0,906380040,60833
624,19169000100.0,528228360,82985
625,19169000600.0,532377130,60833
626,19169000100.0,527256040,82985
627,19169000900.0,903400030,37028
628,19169000200.0,535453200,52375
629,19169000100.0,528240080,82985
630,19169000400.0,534476320,61991
631,19169000900.0,902125080,37028
632,19169000100.0,528327010,82985
633,19169001302.0,916455070,59234
634,19169000200.0,535350030,52375
635,19169000600.0,905226170,60833
636,19169000100.0,528488140,82985
637,19169000100.0,528228580,82985
638,19169000300.0,527453130,60500
639,,534127210,
640,19169000600.0,531452020,60833
641,19169000600.0,531452180,60833
642,19169000900.0,902300110,37028
643,19169001302.0,924152030,59234
644,19169000900.0,902110120,37028
645,19169000100.0,528439080,82985
646,19169001302.0,908151040,59234
647,19169000100.0,528390020,82985
648,19169000600.0,531453140,60833
649,19169000600.0,905226110,60833
650,19169000600.0,531363080,60833
651,19169000300.0,527450520,60500
652,19169000400.0,534252040,61991
653,19169000300.0,527453140,60500
654,19169000600.0,531385020,60833
655,19169000400.0,534151175,61991
656,19169001302.0,914452060,59234
657,19169000200.0,535426130,52375
658,19169000600.0,905200220,60833
659,19169000900.0,903425280,37028
660,19169000300.0,527326130,60500
661,19169000900.0,902105110,37028
662,19169000100.0,528477050,82985
663,19169001100.0,909282130,20878
664,19169000400.0,534402170,61991
665,19169000100.0,528228340,82985
666,19169000300.0,527404020,60500
667,19169001302.0,908103350,59234
668,19169000100.0,527126030,82985
669,19169001302.0,916475040,59234
670,19169000700.0,905452110,21333
671,19169000100.0,533208020,82985
672,19169000900.0,902103120,37028
673,19169000300.0,527359180,60500
674,19169000200.0,535475020,52375
675,19169001302.0,923227100,59234
676,19169000100.0,528150090,82985
677,19169001302.0,914475030,59234
678,19169001302.0,923225240,59234
679,19169000100.0,527108060,82985
680,19169000100.0,528482090,82985
681,19169000300.0,527358060,60500
682,19169000900.0,903235100,37028
683,19169000900.0,903225040,37028
685,19169000700.0,905453080,21333
686,19169000900.0,903227080,37028
687,19169001302.0,908102140,59234
688,19169000400.0,534275060,61991
689,19169001302.0,907202080,59234
690,19169000600.0,532351090,60833
691,19169001302.0,923226300,59234
694,19169001302.0,907180130,59234
695,19169001302.0,907412040,59234
696,19169000200.0,535456100,52375
697,19169000100.0,528172020,82985
698,19169001302.0,907175080,59234
699,19169000400.0,534427140,61991
700,19169000600.0,905200010,60833
701,19169000100.0,528228555,82985
702,19169000600.0,905300020,60833
703,19169000100.0,533253030,82985
704,19169001302.0,923228250,59234
705,19169000300.0,534128100,60500
706,19169001302.0,908103090,59234
707,19169000600.0,531369010,60833
708,19169000200.0,535426350,52375
709,19169000100.0,527210050,82985
710,19169001302.0,923225190,59234
711,19169001302.0,923228210,59234
712,19169000900.0,902401090,37028
713,19169000100.0,528174080,82985
714,19169001000.0,910200040,26009
715,19169000100.0,528294060,82985
716,19169000900.0,902128150,37028
717,19169000200.0,535451010,52375
718,19169000100.0,533221060,82985
719,19169000200.0,535175050,52375
720,,909451100,
721,19169000600.0,905104210,60833
722,19169001302.0,907275080,59234
723,19169001302.0,907285080,59234
724,19169001302.0,907285050,59234
725,19169000100.0,528118040,82985
726,19169001302.0,907255050,59234
727,19169000600.0,905105190,60833
728,19169001302.0,923201100,59234
729,19169000100.0,528120030,82985
730,19169001302.0,907135170,59234
731,19169000200.0,535478010,52375
732,19169000200.0,535180120,52375
733,19169000400.0,534426110,61991
734,19169000200.0,535403150,52375
735,19169000600.0,531376010,60833
736,19169000700.0,905475520,21333
737,19169001302.0,907175030,59234
738,19169000100.0,527212050,82985
739,19169000900.0,902201110,37028
740,19169000600.0,906201030,60833
741,19169000200.0,535325130,52375
742,19169000100.0,533213040,82985
743,19169000300.0,527352150,60500
744,19169000900.0,903226060,37028
745,19169001302.0,923227080,59234
746,19169001302.0,907252060,59234
748,19169000100.0,528102010,82985
749,19169000100.0,533208040,82985
750,19169000300.0,534128090,60500
751,19169001302.0,908103260,59234
752,19169000900.0,903231180,37028
753,19169000100.0,533206050,82985
754,19169000200.0,535403280,52375
755,19169001302.0,907192030,59234
756,19169001302.0,914465060,59234
757,19169000900.0,903228120,37028
758,19169000900.0,903229040,37028
759,19169000200.0,535101120,52375
760,19169000100.0,527180040,82985
761,19169000900.0,902110080,37028
762,19169000900.0,902405120,37028
763,19169001302.0,924100070,59234
764,19169001000.0,903454020,26009
765,19169000100.0,527110120,82985
766,19169000900.0,902136110,37028
767,19169001302.0,907130060,59234
768,19169000200.0,526350040,52375
769,19169000200.0,535352090,52375
770,19169001302.0,907295100,59234
771,19169000100.0,528431060,82985
772,19169000200.0,535126040,52375
773,19169000400.0,534477110,61991
774,19169000100.0,528222010,82985
775,19169001302.0,923203010,59234
776,19169000200.0,535154060,52375
777,19169000100.0,533125120,82985
778,19169000900.0,902301150,37028
779,19169000100.0,533250160,82985
780,19169000100.0,528106010,82985
781,19169000600.0,532376040,60833
782,19169000200.0,535151130,52375
783,19169000100.0,528240070,82985
784,19169000100.0,527184020,82985
785,19169001302.0,907135230,59234
786,19169000300.0,527402150,60500
787,19169000600.0,532378070,60833
788,19169001000.0,910201020,26009
789,19169000600.0,905103060,60833
790,19169001302.0,923228110,59234
791,19169000600.0,904100170,60833
792,19169000100.0,533242090,82985
793,19169000100.0,528456180,82985
794,19169001302.0,907285100,59234
795,19169000200.0,535104020,52375
796,19169000100.0,528439040,82985
798,19169001302.0,908225320,59234
799,19169000100.0,527216070,82985
800,19169000300.0,527451290,60500
801,19169001302.0,907410050,59234
802,19169001100.0,909254050,20878
803,19169000600.0,531373060,60833
804,19169000400.0,534451130,61991
805,19169000900.0,902206220,37028
806,19169000100.0,527164020,82985
807,19169000100.0,527107130,82985
808,19169001302.0,923225200,59234
809,19169001100.0,909251030,20878
810,19169001302.0,907194130,59234
811,19169001302.0,907250070,59234
812,19169001000.0,903454080,26009
813,19169000400.0,534250335,61991
814,19169000100.0,528108130,82985
815,,923230010,
816,19169001100.0,909281030,20878
817,19169000300.0,527451320,60500
818,19169000200.0,535303110,52375
819,19169000100.0,528456200,82985
820,19169000100.0,528120010,82985
821,19169000900.0,902207170,37028
822,19169001302.0,923204140,59234
823,19169000600.0,906223080,60833
824,,532378050,
825,19169000600.0,906204140,60833
826,19169001302.0,923202137,59234
827,19169001302.0,907280040,59234
828,19169000100.0,528170070,82985
829,,909451020,
830,19169000900.0,902300260,37028
831,19169000200.0,535375160,52375
832,19169000300.0,527405160,60500
833,19169000300.0,534200030,60500
834,19169000100.0,528186110,82985
835,19169000300.0,527450110,60500
836,19169000100.0,528292030,82985
837,19169000200.0,535177020,52375
838,19169000200.0,535478110,52375
839,19169000100.0,528142070,82985
840,19169000100.0,527276040,82985
841,19169001302.0,908127070,59234
842,19169001302.0,908186090,59234
843,19169001302.0,916403290,59234
844,19169000100.0,528327070,82985
845,19169000200.0,535453040,52375
846,19169001302.0,923276180,59234
847,19169000400.0,534430110,61991
848,19169001302.0,907187030,59234
849,19169000200.0,535383120,52375
850,19169000900.0,902205070,37028
851,19169000200.0,535453100,52375
852,19169000100.0,528488100,82985
853,19169000400.0,534403370,61991
854,19169000200.0,535455080,52375
856,19169000600.0,532479120,60833
857,19169000600.0,531452260,60833
858,19169000100.0,528488130,82985
859,19169001302.0,923229010,59234
860,19169000100.0,528382020,82985
861,19169001302.0,914478045,59234
862,19169000200.0,535478040,52375
863,19169001302.0,907227080,59234
864,19169000600.0,532376090,60833
865,19169001302.0,907196050,59234
866,19169001302.0,907265100,59234
867,19169000100.0,528114050,82985
868,19169001302.0,907260030,59234
869,19169000600.0,905200510,60833
870,19169000100.0,527106050,82985
871,19169000300.0,527325160,60500
872,19169000200.0,535403190,52375
873,19169001302.0,907410040,59234
874,19169000600.0,531384070,60833
875,19169000100.0,528290170,82985
876,19169001000.0,903457130,26009
877,19169000900.0,902402250,37028
878,19169000100.0,533223050,82985
879,19169000300.0,527376090,60500
880,19169000100.0,528168040,82985
881,19169000100.0,528174070,82985
882,19169000100.0,527106140,82985
883,19169001100.0,909281080,20878
884,19169000400.0,534250410,61991
885,19169001302.0,907200250,59234
886,19169001302.0,907200170,59234
887,19169000100.0,527182190,82985
888,19169000100.0,528290090,82985
889,19169000100.0,528228440,82985
890,19169000700.0,905476225,21333
891,19169001302.0,907260040,59234
